id,nemo,descipcion,agrupacion,tipo_agente,fecha_proceso,lote_id_log
158372,GCBAMACN,GCBA MAMBA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158373,GCBAMUCN,GCBA - CIUDAD DE LA MUSICA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158374,GCBATOCN,GCBA - HTAL TOBAR GARCIA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158375,GCBABACN,GCBA - CENTRO CIVICO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158376,GCBAPION,GCBA HOSPITAL PIROVANO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158377,GCBAGUON,GCBA HTAL GUTIERREZ,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158378,GCBAWHON,GCBA ARROYO WHITE,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158379,GCBAVEON,GCBA ARROYO VEGA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158380,GCBAFEON,GCBA HOSPITAL FERNANDEZ,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158381,LANOVLON,LANOLEC INVERSIONES S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158382,COSTANDG,MOTOGENERADORES COSTANERA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
158383,PENAVIMN,GRUPO PENAFLOR,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158384,OB19STAT,TRAFO ET OLAVARRIA,,Transportista Independiente,2020-05-05 11:08:14.531913,67
158385,GD0695SI,AGUAS SANTAFESINAS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158386,GD01693I,CLEANESS S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158387,GD1779CI,GCBA-PALACIO LEZAMA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158388,GD1778CI,FIBRAN SUR S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158389,GD0084AI,CARTOON S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158390,GD0697SI,TECNO EMPRESA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158391,GD0696SI,CLUB G. Y ESGRIMA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158392,GD0698SI,LOS CERRILLOS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158393,GD0153II,MAYCAR S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158394,GWLU421I,ALGOSELAN S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158395,GD1780CI,UBA - ESC.SUP.C.PELLEGRINI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158396,GD1782CI,LABORATORIO KEMEX S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158397,GD1785CI,GCBA-PLANTA RECICLAJE,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158398,GD1783CI,SERV Y PROD BEBIDAS REFRES SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158399,GD1781CI,PHARMOS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158400,GD1784CI,PLASTICOS LIRES S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158401,GD1787CI,CORRIENTES PALACE S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158402,GD1786CI,RED LINK S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158403,GD8718OI,AySA (Aguas y Saneamientos Arg,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158404,GD4723OI,VESTIDITOS SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158405,GD4997OI,TEXPLAN SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158406,GD0161EI,MUNIC.FEDERACION O.S.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158407,GD0699SI,B.H. BIO - COMBUSTIBLES S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158408,GD0700SI,MENA RAUL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158409,CTGUEPLG,PAMPA ENERGIA SA,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
158410,GD0177JI,MOTAPE S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158411,INCORS1N,IMCONSER,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158412,TRESCIRN,TRES ASES,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158413,GD0173DI,BLACK Y DECKER ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158414,GD1789CI,INTER FARMA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158415,GD1791CI,WAL MART ARGENTINA SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158416,GD1788CI,FRIGORIFICO EL ARAUCANO SRL EN,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158417,GD1790CI,MUNIC. BERAZAT. - EDIF. MUNIC.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158418,GD1015OI,INSTITUTO CARDIOVASCULAR DE BS,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158419,GD8665OI,ISOLANT SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158420,GD9256OI,DELTA COMPRESION S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158421,GD9005OI,PLAZA LOGISTICA TORTUGAS SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158422,GD1420OI,DISTRIBEBIDAS SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158423,GD7125XI,GIOPAR SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158424,GD7124XI,U N C,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158425,GD0162EI,SALUD ENTRE RIOS S.E.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158426,EJUESAYG,EMP.JUJENIA DE ENER.GENERACION,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
158427,GWCS02UI,SCPL ESTACION BOMBEO A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158428,GWCS01UI,SCPL EST. BOMBEO CERRO NEGRO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158429,YPFTBEIN,YPF Tecnologia S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158430,GD0701SI,SANCOR COOPERATIVA DE SEG.LTDA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158431,GD0711SI,UN.OBR.METALURGICA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158432,GD0703SI,BANCO NACION ARGENTINA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158433,GD0713SI,UNIVERSIDAD NAC. DE ROSARIO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158434,GD0715SI,MINIST DE SEGURIDD,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158435,GD0704SI,DIREC. PROV. DE VIVIENDA Y URB,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158436,GD0706SI,PUERTO NORTE HOTEL S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158437,GD0714SI,MINIST.DE CULT.Y EDUC. REG. 6,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158438,GD0708SI,HOYTS GENERAL CINEMA DE ARG SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158439,GD0710SI,DES. LOGISTICA ROSARIO S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158440,GD0716SI,VAPORELLA S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158441,GD0702SI,A.M.P.J.B.O.Y N. JERARQ. SALUD,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158442,GD0709SI,LA GALLEGA SUP. SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158443,GD0717SI,FUNDALVE S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158444,GD0718SI,MUNICIPALIDAD DE SANTO TOME,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158445,GD0707SI,CLUB ATLETICO ROSARIO CENTRAL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158446,GD0712SI,METALBO S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158447,CTRIOCHG,CT RIO CHICO - SPSE,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
158448,GD0045LI,CASINO CLUB S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158449,MENULU1N,MENUDENCIAS S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158450,SANJAIFN,SAN JUAN DE LOS OLIVOS S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158451,GD1792CI,CONSORCIO DE PROPIETARIOS,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158452,GD1794CI,CONS. DE PROP. MADERO HARBOUR,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158453,GD1797CI,SOFSE OP FERROVIARIA (MITRE),GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158454,GD1795CI,COOK MASTER S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158455,GD1798CI,POLICIA DE SEG. AEROPORTUARIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158456,GD1793CI,LOMSICAR S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158457,GD2336OI,SANDVIK ARGENTINA SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158458,GD9289OI,ROEMMERS S.A.I.C.F,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158459,GD1774OI,ANDREANI LOGISTICA SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158460,GD8998OI,ALERCON SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158461,GD3911OI,ELT ARGENTINA S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158462,GD0163EI,LAFEDAR S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158463,GD7894OI,Carnes Porcinas Seleccionadas,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158464,GD0178JI,UNIV. CATOLICA DE CUYO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158465,BALLSLDN,BALL AEROSOL PACKAGING ARG.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158466,CEROROSN,CERAMICA ROSARIO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158467,OB20STAT,AMPLIACION ET ALICURA,,Transportista Independiente,2020-05-05 11:08:14.531913,67
158468,GD9294OI,ACLOS AS.CIVIL LONGEVIDAD SALU,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158469,GD0053GI,LOS AMORES SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158470,GD1804CI,SAN MARCOS E. S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158471,GD1801CI,PUNTA MOGOTE S.C.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158472,GD1800CI,ORT ARGENTINA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158473,GD1803CI,GCBA HOSPITAL LUGANO DRA.GRIER,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158474,GD1805CI,TELEFONICA MOVILES ARG SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158475,GD1802CI,SIDES S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158476,GD1806CI,EXTREME GEAR S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158477,CFTPORTG,C.FOT.TERRAZAS DEL PORTEZUELO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
158478,ESURESCG,ENERGIA DEL SUR S.A. TV01,,Comercializador de Generacion,2020-05-05 11:08:14.531913,67
158479,GD0720SI,SIPRE S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158480,GD0721SI,EL RINCON DEL AGUILA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158481,GD0719SI,ULERICHE. ROBERTO LIVIO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158482,GD0722SI,AGRIC. FED. ARGENTINO.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158483,GD0155II,MIN. DE SALUD PROVI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158484,GD0154II,FISIPA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158485,GD1818CI,IRON MOUNTAIN ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158486,GD1824CI,BOLDT S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158487,GD1826CI,TERMOPLASTICOS DEL SUR S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158488,GD1827CI,O.C.A.S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158489,GD1815CI,CEREAL FOOD S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158490,GD1822CI,DROMEX BIOTECH S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158491,GD1809CI,AGUAS BONAERENSES S.A. PDLC,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158492,GD1823CI,INSTITUTO TECNOLOGICO DE BS.AS,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158493,GD1829CI,NOVOCAP S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158494,GD1831CI,XERIUM ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158495,GD1817CI,LUIS CARLOS ZONIS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158496,GD1821CI,VALYSER S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158497,GD1834CI,FIBRAS ARGENTINAS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158498,GD1828CI,CONS. DE COPROP. ARTMARIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158499,GD1832CI,COMPANIA ARG. DE ACEITES S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158500,GD1825CI,PRESENCIA DE DIOS ASOC. CIVIL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158501,GD1830CI,PULVERLUX S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158502,GD1808CI,A.N.M.A.T.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158503,GD1810CI,CONSTRUCC Y PROYECT EDIFICA SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158504,GD1811CI,DOENA PHARMA SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158505,GD1833CI,DROGUERIA DEL SUD SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158506,GD1807CI,BOLSAS INDUSTRIALES ALAMO S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158507,GD1812CI,POLIMIX ARGENTINA S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158508,GD1813CI,TRANSQUIM S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158509,GD1814CI,INDUSTRIAS DALAFER,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158510,GD1820CI,ALVEAR PALACE HOTEL S.A. I,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158511,GD0175DI,CABAÑAS EL SILENCIO SOCIEDAD A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158512,GD7129XI,U N C,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158513,GD7131XI,COOP DE TRABAJO BARRANCA YACO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158514,GD0164EI,RIVER FISH S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158515,GD1070OI,CEREALKO SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158516,GD9315OI,KRAH AMERICA LATINA S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158517,GD8601OI,MARMO BRA S R L,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158518,GD8794OI,FAMIQ S R L,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158519,GD9036OI,THE WALT DISNEY COMPANY ARGENT,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158520,GD9175OI,COMPAÑIA SUDAMERICANA DE PLAST,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158521,FERVGOOY,FERVA SACI,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
158522,GD0066NI,YERBATERA MNES. S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158523,GD0114HI,CESHMA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158524,GD9112OI,FEDSAN S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158525,GD0179JI,SAN JUAN DE LOS OLIVOS S. A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158526,GD0300MI,VINES MANAGEMENT S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158527,GD0298MI,UNIVERSIDAD NACIONAL DE CUYO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158528,GD0299MI,FINCAS DEL INCA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158529,GD0301MI,ZUELO S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158530,GWAL43QI,IMAGENES S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158531,ARYUEPON,ARGNTINA YUANHANG NAVIERA INT,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158532,CANTTION,CANTERAS CERRO NEGRO S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158533,ASOCTL1N,ACA - TRENQUE LAUQUEN,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158534,EXPELION,EXPERTA ART S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
158535,CHPNEGRG,C.H.PUNTA NEGRA - EPSE,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
158536,GD6130OI,C CASTELLI SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158537,GD1983OI,UNILAC SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158538,GD9359OI,FANA QUIMICA SAICFI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158539,GD9320OI,ASOCIACION JUDEO ARG. DE CULTU,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158540,GD0965OI,MUÑOZ MARIANO M,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158541,GWUT253I,COOP. AGROP. DE TANDIL LTDA.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158542,GD5049MI,AITOR BALBO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158543,GD0165EI,S.A.AC.M.F. ENTRE RIOS,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158544,SPSECALT,SPSE LA ESPERANZA-CALAFATE,,Transportista Independiente,2020-05-05 11:08:14.531913,67
158545,SPSECAFT,SPSE LA ESPERANZA-CALAF.CAF,,Transportista Independiente,2020-05-05 11:08:14.531913,67
158546,GD0067NI,CBS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158547,GD1837CI,OSDE S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158548,GD1836CI,BARBASTRO S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158549,GWOL283I,ASOC.COOP.ARGENTINAS LTDA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
158550,GD0112FI,LEJAR DISTRIBUIDORA S. R. L. S,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
